trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-321.3418051606307,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.27977936287634,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-42.66295679074511,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-89.05703076547326,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-214.49079015074028,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-125.62645084346273,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.81699711864354,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.7706007974789,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-105.56653599305385,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.42734596163788,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.95314126529718,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.43274310421316,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.9459304731056,"{0: 14, 1: 0, 2: 9, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.96553705080797,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.02301212926192,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.84988597314006,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.4265516984493,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-208.4413296335577,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,10,-114.43265830452948,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-67.41383220412852,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.12398411130785,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.7513369307307,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-60.74007771141918,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.02344405358777,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-92.85671583996415,"{0: 26, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.29516799767845,"{0: 8, 1: 1, 2: 8, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-122.45993996589957,"{0: 10, 1: 5, 2: 9, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-115.67826699405637,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-120.7800550914055,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,2,-33.22461459976792,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
