trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.9}",25,0,-81.54851068730132,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 1, 'e': 0.81}",20,0,-99.37572231071876,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 1, 'e': 0.7290000000000001}",25,14,-27.086539562828342,"{0: 6, 1: 3, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 1, 'e': 0.6561}",30,16,-0.1259267879798882,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 1, 'e': 0.5904900000000001}",35,22,5.173818955437353,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 1, 'e': 0.531441}",25,0,-87.29977750902533,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 1, 'e': 0.4782969000000001}",20,5,-9.215551357521486,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 1, 'e': 0.4304672100000001}",30,13,-56.741342015130776,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 1}",1
9,False,"{'a': 1, 'e': 0.3874204890000001}",20,0,-52.79096969011849,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 1, 'e': 0.3486784401000001}",25,0,-5.723353819530173,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 1, 'e': 0.31381059609000006}",25,11,-20.2453141623138,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
12,False,"{'a': 1, 'e': 0.2824295364810001}",20,10,16.951758777932834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 1, 'e': 0.2541865828329001}",25,0,-81.69608416809925,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 1, 'e': 0.2287679245496101}",25,15,-7.214396013050024,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 1, 'e': 0.20589113209464907}",25,0,-65.2334361857231,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 1, 'e': 0.18530201888518416}",30,20,-5.244898894864075,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
